"","Region","Province","CityProvince","Barangay","Population","HouseholdPopulation","Nhouseholds","Area","BrgyCount","BrgyArea","BrgyDensity"
"17051","REGION IV-A – CALABARZON","BATANGAS","CUENCA","San Felipe",3377,3371,750,16576.26,2968,5.58499326145552,604.656056311858
"17048","REGION IV-A – CALABARZON","BATANGAS","CUENCA","Ibabao",3343,3326,637,16576.26,2968,5.58499326145552,598.568313962257
"17052","REGION IV-A – CALABARZON","BATANGAS","CUENCA","San Isidro",2091,2091,439,16576.26,2968,5.58499326145552,374.396154500472
"17049","REGION IV-A – CALABARZON","BATANGAS","CUENCA","Labac",2037,2035,458,16576.26,2968,5.58499326145552,364.727387239341
"36279","REGION VIII - EASTERN VISAYAS","BILIRAN","CULABA","Marvel (Pob.)",1720,1705,394,23234.78,3102,7.49025789813024,229.63161260834
"36285","REGION VIII - EASTERN VISAYAS","BILIRAN","CULABA","Virginia (Pob.)",1602,1602,348,23234.78,3102,7.49025789813024,213.877815929395
"36273","REGION VIII - EASTERN VISAYAS","BILIRAN","CULABA","Bool East (Pob.)",1012,993,246,23234.78,3102,7.49025789813024,135.108832534674
"36278","REGION VIII - EASTERN VISAYAS","BILIRAN","CULABA","Looc",862,862,169,23234.78,3102,7.49025789813024,115.082819807203
"36281","REGION VIII - EASTERN VISAYAS","BILIRAN","CULABA","Pinamihagan",828,828,179,23234.78,3102,7.49025789813024,110.543590255643
"26571","REGION VI - WESTERN VISAYAS","ANTIQUE","CULASI","Batbatan Island",2851,2851,722,12773.46,2724,4.68922907488987,607.989064826601
"26596","REGION VI - WESTERN VISAYAS","ANTIQUE","CULASI","Centro Poblacion",2477,2360,497,12773.46,2724,4.68922907488987,528.231818160467
"26576","REGION VI - WESTERN VISAYAS","ANTIQUE","CULASI","Bitadton Sur",2166,2166,487,12773.46,2724,4.68922907488987,461.909615718842
"26597","REGION VI - WESTERN VISAYAS","ANTIQUE","CULASI","Centro Norte (Pob.)",2114,2114,504,12773.46,2724,4.68922907488987,450.820372866866
"26589","REGION VI - WESTERN VISAYAS","ANTIQUE","CULASI","Lipata",1962,1962,448,12773.46,2724,4.68922907488987,418.40566299186
"4882","MIMAROPA REGION","PALAWAN","CULION","Osmeña",3693,3693,933,29606.25,1209,24.4882133995037,150.80724509183
"4875","MIMAROPA REGION","PALAWAN","CULION","Binudac",2167,2167,478,29606.25,1209,24.4882133995037,88.4915516149462
"4877","MIMAROPA REGION","PALAWAN","CULION","Galoc",1956,1956,431,29606.25,1209,24.4882133995037,79.8751614946168
"4886","MIMAROPA REGION","PALAWAN","CULION","De Carabao",1799,1799,390,29606.25,1209,24.4882133995037,73.4639138695377
"4880","MIMAROPA REGION","PALAWAN","CULION","Luac",1688,1688,412,29606.25,1209,24.4882133995037,68.9311209626346
"8202","REGION I - ILOCOS","ILOCOS NORTE","CURRIMAO","Gaang",1238,1238,275,12964.62,2609,4.96919126101955,249.135107700804
"8219","REGION I - ILOCOS","ILOCOS NORTE","CURRIMAO","Victoria",946,946,204,12964.62,2609,4.96919126101955,190.373030601745
"8210","REGION I - ILOCOS","ILOCOS NORTE","CURRIMAO","Pias Norte",887,887,220,12964.62,2609,4.96919126101955,178.499871187894
"8217","REGION I - ILOCOS","ILOCOS NORTE","CURRIMAO","Tapao-Tigue",791,791,191,12964.62,2609,4.96919126101955,159.180832141629
"8212","REGION I - ILOCOS","ILOCOS NORTE","CURRIMAO","Poblacion I",744,740,181,12964.62,2609,4.96919126101955,149.722552608561
"14657","REGION III - CENTRAL LUZON","NUEVA ECIJA","CUYAPO","San Antonio",4118,4118,1110,21906.19,2268,9.6588139329806,426.346343202538
"14616","REGION III - CENTRAL LUZON","NUEVA ECIJA","CUYAPO","Baloy",2544,2544,571,21906.19,2268,9.6588139329806,263.386376179518
"14641","REGION III - CENTRAL LUZON","NUEVA ECIJA","CUYAPO","Latap",2169,2169,527,21906.19,2268,9.6588139329806,224.561733464377
"14617","REGION III - CENTRAL LUZON","NUEVA ECIJA","CUYAPO","Bambanaba",2030,2030,513,21906.19,2268,9.6588139329806,210.170732564631
"14665","REGION III - CENTRAL LUZON","NUEVA ECIJA","CUYAPO","Ungab",1895,1895,425,21906.19,2268,9.6588139329806,196.19386118718
"4639","MIMAROPA REGION","PALAWAN","CUYO","Suba",4037,4037,900,29606.25,1209,24.4882133995037,164.854819506016
"4634","MIMAROPA REGION","PALAWAN","CUYO","Manamoc",2631,2455,509,29606.25,1209,24.4882133995037,107.439442685244
"4627","MIMAROPA REGION","PALAWAN","CUYO","Cabigsing (Pob.)",2064,2064,500,29606.25,1209,24.4882133995037,84.2854464851172
"4637","MIMAROPA REGION","PALAWAN","CUYO","Pawa",1542,1542,339,29606.25,1209,24.4882133995037,62.9690690310323
"4626","MIMAROPA REGION","PALAWAN","CUYO","Bangcal (Pob.)",1441,1441,381,29606.25,1209,24.4882133995037,58.8446358454718
"31115","REGION VII - CENTRAL VISAYAS","CEBU","DAANBANTAYAN","Maya",8822,8822,1897,10452.01,1866,5.60129153269025,1574.9939006947
"31120","REGION VII - CENTRAL VISAYAS","CEBU","DAANBANTAYAN","Tapilon",8323,8323,1904,10452.01,1866,5.60129153269025,1485.90730395398
"31118","REGION VII - CENTRAL VISAYAS","CEBU","DAANBANTAYAN","Poblacion",7794,7770,1722,10452.01,1866,5.60129153269025,1391.46479959357
"31103","REGION VII - CENTRAL VISAYAS","CEBU","DAANBANTAYAN","Aguho",5726,5673,1282,10452.01,1866,5.60129153269025,1022.26423434344
"31112","REGION VII - CENTRAL VISAYAS","CEBU","DAANBANTAYAN","Logon",5720,5720,1344,10452.01,1866,5.60129153269025,1021.19305281951
"23422","REGION V - BICOL","CAMARINES NORTE","DAET (Capital)","Alawihao",10913,10913,2266,18114.47,2484,7.29245974235105,1496.4772361543
"23428","REGION V - BICOL","CAMARINES NORTE","DAET (Capital)","Camambugan",8528,8528,1853,18114.47,2484,7.29245974235105,1169.4270933679
"23441","REGION V - BICOL","CAMARINES NORTE","DAET (Capital)","Barangay IV (Pob.)",7834,7834,1795,18114.47,2484,7.29245974235105,1074.26030129504
"23432","REGION V - BICOL","CAMARINES NORTE","DAET (Capital)","Gubat",7520,7520,1394,18114.47,2484,7.29245974235105,1031.20212736006
"23433","REGION V - BICOL","CAMARINES NORTE","DAET (Capital)","Lag-On",6584,6574,1445,18114.47,2484,7.29245974235105,902.850373209925
"33109","REGION VIII - EASTERN VISAYAS","LEYTE","DAGAMI","Patoc",1586,1586,397,23234.78,3102,7.49025789813024,211.741707905132
"33075","REGION VIII - EASTERN VISAYAS","LEYTE","DAGAMI","Balilit",1210,1210,287,23234.78,3102,7.49025789813024,161.543169334937
"33095","REGION VIII - EASTERN VISAYAS","LEYTE","DAGAMI","Hiabangan",1151,1151,278,23234.78,3102,7.49025789813024,153.666270995465
"33080","REGION VIII - EASTERN VISAYAS","LEYTE","DAGAMI","Buntay",1111,1111,248,23234.78,3102,7.49025789813024,148.326000934806
"33083","REGION VIII - EASTERN VISAYAS","LEYTE","DAGAMI","Cabuloran",1086,1086,247,23234.78,3102,7.49025789813024,144.988332146894
"29853","REGION VII - CENTRAL VISAYAS","BOHOL","DAGOHOY","San Miguel",2754,2754,610,10452.01,1866,5.60129153269025,491.672319486874
"29852","REGION VII - CENTRAL VISAYAS","BOHOL","DAGOHOY","Poblacion",2692,2692,581,10452.01,1866,5.60129153269025,480.60344373953
"29848","REGION VII - CENTRAL VISAYAS","BOHOL","DAGOHOY","Caluasan",1892,1892,427,10452.01,1866,5.60129153269025,337.77924054799
"29851","REGION VII - CENTRAL VISAYAS","BOHOL","DAGOHOY","Malitbog",1633,1633,349,10452.01,1866,5.60129153269025,291.539904764729
"29854","REGION VII - CENTRAL VISAYAS","BOHOL","DAGOHOY","San Vicente",1386,1386,300,10452.01,1866,5.60129153269025,247.442932029342
"2558","CORDILLERA ADMINISTRATIVE REGION","ABRA","DAGUIOMAN","Tui (Pob.)",965,965,184,19818.12,1079,18.3671177015755,52.539544618763
"2556","CORDILLERA ADMINISTRATIVE REGION","ABRA","DAGUIOMAN","Cabaruyan",500,500,85,19818.12,1079,18.3671177015755,27.2225619786337
"2557","CORDILLERA ADMINISTRATIVE REGION","ABRA","DAGUIOMAN","Pikek",410,410,67,19818.12,1079,18.3671177015755,22.3225008224796
"2555","CORDILLERA ADMINISTRATIVE REGION","ABRA","DAGUIOMAN","Ableg",213,213,39,19818.12,1079,18.3671177015755,11.596811402898
"10395","REGION I - ILOCOS","PANGASINAN","DAGUPAN CITY","Bonuan Gueset",23373,22446,5188,12964.62,2609,4.96919126101955,4703.58228779555
"10408","REGION I - ILOCOS","PANGASINAN","DAGUPAN CITY","Pantal",17841,17798,4273,12964.62,2609,4.96919126101955,3590.32266275448
"10394","REGION I - ILOCOS","PANGASINAN","DAGUPAN CITY","Bonuan Boquig",14354,14354,3272,12964.62,2609,4.96919126101955,2888.59881739688
"10403","REGION I - ILOCOS","PANGASINAN","DAGUPAN CITY","Lucao",10252,10228,2195,12964.62,2609,4.96919126101955,2063.11237814915
"10404","REGION I - ILOCOS","PANGASINAN","DAGUPAN CITY","Malued",9581,9581,2078,12964.62,2609,4.96919126101955,1928.08034481535
"31145","REGION VII - CENTRAL VISAYAS","CEBU","DALAGUETE","Mantalongon",6517,6516,1307,10452.01,1866,5.60129153269025,1163.48166524908
"31150","REGION VII - CENTRAL VISAYAS","CEBU","DALAGUETE","Poblacion",6355,6331,1412,10452.01,1866,5.60129153269025,1134.55976410279
"31130","REGION VII - CENTRAL VISAYAS","CEBU","DALAGUETE","Casay",4283,4282,936,10452.01,1866,5.60129153269025,764.645077836703
"31152","REGION VII - CENTRAL VISAYAS","CEBU","DALAGUETE","Tapun",4068,4068,835,10452.01,1866,5.60129153269025,726.261073228977
"31125","REGION VII - CENTRAL VISAYAS","CEBU","DALAGUETE","Balud",3214,3214,691,10452.01,1866,5.60129153269025,573.796236322009
"36375","REGION X - NORTHERN MINDANAO","BUKIDNON","DAMULOG","Omonay",6523,6523,1490,20458.51,1635,12.5128501529052,521.304093015572
"36376","REGION X - NORTHERN MINDANAO","BUKIDNON","DAMULOG","Poblacion (New Damulog)",4382,4372,1013,20458.51,1635,12.5128501529052,350.199990126358
"36378","REGION X - NORTHERN MINDANAO","BUKIDNON","DAMULOG","Sampagar",2571,2571,553,20458.51,1635,12.5128501529052,205.468775585319
"36365","REGION X - NORTHERN MINDANAO","BUKIDNON","DAMULOG","Tangkulan (Jose Rizal)",2406,2406,493,20458.51,1635,12.5128501529052,192.282331411232
"36364","REGION X - NORTHERN MINDANAO","BUKIDNON","DAMULOG","Angga-an",2121,2121,445,20458.51,1635,12.5128501529052,169.505746019627
"29865","REGION VII - CENTRAL VISAYAS","BOHOL","DANAO","Poblacion",3434,3434,753,10452.01,1866,5.60129153269025,613.072892199682
"29860","REGION VII - CENTRAL VISAYAS","BOHOL","DANAO","Concepcion",1566,1566,332,10452.01,1866,5.60129153269025,279.578377747438
"29857","REGION VII - CENTRAL VISAYAS","BOHOL","DANAO","Cabatuan",1428,1427,344,10452.01,1866,5.60129153269025,254.941202696898
"29866","REGION VII - CENTRAL VISAYAS","BOHOL","DANAO","Remedios",1288,1288,285,10452.01,1866,5.60129153269025,229.946967138378
"29863","REGION VII - CENTRAL VISAYAS","BOHOL","DANAO","Magtangtang",1256,1256,265,10452.01,1866,5.60129153269025,224.233999010717
"31186","REGION VII - CENTRAL VISAYAS","CEBU","DANAO CITY","Sabang",12431,12431,3399,10452.01,1866,5.60129153269025,2219.30958734253
"31180","REGION VII - CENTRAL VISAYAS","CEBU","DANAO CITY","Maslog",9929,9929,2550,10452.01,1866,5.60129153269025,1772.62689186099
"31174","REGION VII - CENTRAL VISAYAS","CEBU","DANAO CITY","Looc",9543,9543,2140,10452.01,1866,5.60129153269025,1703.71421382107
"31169","REGION VII - CENTRAL VISAYAS","CEBU","DANAO CITY","Guinsay",9152,9114,1968,10452.01,1866,5.60129153269025,1633.90888451121
"31184","REGION VII - CENTRAL VISAYAS","CEBU","DANAO CITY","Poblacion",9090,9070,2213,10452.01,1866,5.60129153269025,1622.84000876386
"36391","REGION X - NORTHERN MINDANAO","BUKIDNON","DANGCAGAN","Poblacion",5956,5949,1341,20458.51,1635,12.5128501529052,475.9906757628
"36387","REGION X - NORTHERN MINDANAO","BUKIDNON","DANGCAGAN","Miaray",3607,3607,803,20458.51,1635,12.5128501529052,288.263661429889
"36380","REGION X - NORTHERN MINDANAO","BUKIDNON","DANGCAGAN","Barongcot",2192,2177,501,20458.51,1635,12.5128501529052,175.179912906658
"36384","REGION X - NORTHERN MINDANAO","BUKIDNON","DANGCAGAN","Kianggat",1654,1654,380,20458.51,1635,12.5128501529052,132.184113114787
"36383","REGION X - NORTHERN MINDANAO","BUKIDNON","DANGCAGAN","Kapalaran",1503,1503,278,20458.51,1635,12.5128501529052,120.11651874941
"2561","CORDILLERA ADMINISTRATIVE REGION","ABRA","DANGLAS","Caupasan (Pob.)",1359,1357,293,19818.12,1079,18.3671177015755,73.9909234579264
"2563","CORDILLERA ADMINISTRATIVE REGION","ABRA","DANGLAS","Nagaparan",803,803,172,19818.12,1079,18.3671177015755,43.7194345376857
"2560","CORDILLERA ADMINISTRATIVE REGION","ABRA","DANGLAS","Cabaruan",673,673,139,19818.12,1079,18.3671177015755,36.641568423241
"2564","CORDILLERA ADMINISTRATIVE REGION","ABRA","DANGLAS","Padangitan",417,417,84,19818.12,1079,18.3671177015755,22.7036166901805
"2562","CORDILLERA ADMINISTRATIVE REGION","ABRA","DANGLAS","Danglas",357,357,86,19818.12,1079,18.3671177015755,19.4369092527445
"27074","REGION VI - WESTERN VISAYAS","CAPIZ","DAO","Matagnop",3667,3667,859,12773.46,2724,4.68922907488987,782.004875734531
"27064","REGION VI - WESTERN VISAYAS","CAPIZ","DAO","Balucuan",3308,3308,747,12773.46,2724,4.68922907488987,705.446449121851
"27068","REGION VI - WESTERN VISAYAS","CAPIZ","DAO","Duyoc",2782,2782,671,12773.46,2724,4.68922907488987,593.27449258071
"27075","REGION VI - WESTERN VISAYAS","CAPIZ","DAO","Nasunogan",2659,2659,626,12773.46,2724,4.68922907488987,567.044168142383
"27070","REGION VI - WESTERN VISAYAS","CAPIZ","DAO","Lacaron",2347,2347,540,12773.46,2724,4.68922907488987,500.508711030527
"41336","REGION XIII – CARAGA","SURIGAO DEL NORTE","DAPA","Barangay 1 (Pob.)",2610,2610,544,21120.56,1004,21.0364143426295,124.070573886298
"41350","REGION XIII – CARAGA","SURIGAO DEL NORTE","DAPA","Barangay 12 (Pob.)",2467,2467,545,21120.56,1004,21.0364143426295,117.272837462643
"41362","REGION XIII – CARAGA","SURIGAO DEL NORTE","DAPA","Union",2420,2420,561,21120.56,1004,21.0364143426295,115.038616400323
"41337","REGION XIII – CARAGA","SURIGAO DEL NORTE","DAPA","Barangay 13 (Pob.)",1881,1852,334,21120.56,1004,21.0364143426295,89.4163791111599
"41341","REGION XIII – CARAGA","SURIGAO DEL NORTE","DAPA","Consolacion",1783,1783,368,21120.56,1004,21.0364143426295,84.7577905131303
"20835","REGION IX - ZAMBOANGA PENINSULA","ZAMBOANGA DEL NORTE","DAPITAN CITY","Banonong (Pob.)",4437,4124,895,16904.03,1576,10.7259073604061,413.671296134709
"20831","REGION IX - ZAMBOANGA PENINSULA","ZAMBOANGA DEL NORTE","DAPITAN CITY","Taguilon",3358,3358,698,16904.03,1576,10.7259073604061,313.073746319665
"20818","REGION IX - ZAMBOANGA PENINSULA","ZAMBOANGA DEL NORTE","DAPITAN CITY","Polo",3226,3226,651,16904.03,1576,10.7259073604061,300.767095183811
"20829","REGION IX - ZAMBOANGA PENINSULA","ZAMBOANGA DEL NORTE","DAPITAN CITY","Sulangon",3150,3150,634,16904.03,1576,10.7259073604061,293.681447560138
"20838","REGION IX - ZAMBOANGA PENINSULA","ZAMBOANGA DEL NORTE","DAPITAN CITY","Matagobtob Pob. (Talisay)",3084,3084,645,16904.03,1576,10.7259073604061,287.528121992211
"22759","REGION V - BICOL","ALBAY","DARAGA (LOCSIN)","Anislag",11461,11461,2521,18114.47,2484,7.29245974235105,1571.62334862682
"22808","REGION V - BICOL","ALBAY","DARAGA (LOCSIN)","Tagas",6901,6849,1268,18114.47,2484,7.29245974235105,946.319930972311
"22799","REGION V - BICOL","ALBAY","DARAGA (LOCSIN)","Sagpon",6587,6379,1493,18114.47,2484,7.29245974235105,903.26175703733
"22791","REGION V - BICOL","ALBAY","DARAGA (LOCSIN)","Maroroy",5518,5502,1196,18114.47,2484,7.29245974235105,756.671986538938
"22803","REGION V - BICOL","ALBAY","DARAGA (LOCSIN)","San Roque",4500,4480,996,18114.47,2484,7.29245974235105,617.075741106419
"35097","REGION VIII - EASTERN VISAYAS","SAMAR (WESTERN SAMAR)","DARAM","Bagacay",2074,2074,432,23234.78,3102,7.49025789813024,276.893002645172
"35094","REGION VIII - EASTERN VISAYAS","SAMAR (WESTERN SAMAR)","DARAM","Astorga",2000,2000,389,23234.78,3102,7.49025789813024,267.013503032953
"35130","REGION VIII - EASTERN VISAYAS","SAMAR (WESTERN SAMAR)","DARAM","Poblacion 2 (Malingon)",1594,1590,326,23234.78,3102,7.49025789813024,212.809761917264
"35095","REGION VIII - EASTERN VISAYAS","SAMAR (WESTERN SAMAR)","DARAM","Bachao",1525,1525,308,23234.78,3102,7.49025789813024,203.597796062627
"35141","REGION VIII - EASTERN VISAYAS","SAMAR (WESTERN SAMAR)","DARAM","Sua",1252,1252,254,23234.78,3102,7.49025789813024,167.150452898629
"10431","REGION I - ILOCOS","PANGASINAN","DASOL","Poblacion",3416,3416,810,12964.62,2609,4.96919126101955,687.435806062962
"10422","REGION I - ILOCOS","PANGASINAN","DASOL","Eguia",3194,3194,731,12964.62,2609,4.96919126101955,642.760528268472
"10423","REGION I - ILOCOS","PANGASINAN","DASOL","Gais-Guipe",2502,2502,556,12964.62,2609,4.96919126101955,503.502455143305
"10435","REGION I - ILOCOS","PANGASINAN","DASOL","Uli",2033,2033,472,12964.62,2609,4.96919126101955,409.120899802694
"10425","REGION I - ILOCOS","PANGASINAN","DASOL","Macalang",2025,2025,471,12964.62,2609,4.96919126101955,407.510979882172
"1775","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU ABDULLAH SANGKI","Tukanolocong (Tukanologong)",3016,3016,452,36650.95,2081,17.6121816434407,171.245110972567
"1773","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU ABDULLAH SANGKI","Sugadol",3003,3003,471,36650.95,2081,17.6121816434407,170.506985494237
"1769","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU ABDULLAH SANGKI","Kaya-kaya",2993,2993,497,36650.95,2081,17.6121816434407,169.939196664752
"1766","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU ABDULLAH SANGKI","Banaba",2714,2714,449,36650.95,2081,17.6121816434407,154.097888322131
"1774","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU ABDULLAH SANGKI","Talisawa",2242,2242,414,36650.95,2081,17.6121816434407,127.298255570456
"1801","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU ANGGAL MIDTIMBANG","Brar",5380,5380,851,36650.95,2081,17.6121816434407,305.470390262735
"1804","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU ANGGAL MIDTIMBANG","Nunangan (Nunangen)",3841,3841,592,36650.95,2081,17.6121816434407,218.08768940505
"1805","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU ANGGAL MIDTIMBANG","Tugal",3639,3639,576,36650.95,2081,17.6121816434407,206.61835504946
"1802","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU ANGGAL MIDTIMBANG","Mapayag",3501,3453,549,36650.95,2081,17.6121816434407,198.782869202572
"1800","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU ANGGAL MIDTIMBANG","Adaon",3455,3358,522,36650.95,2081,17.6121816434407,196.171040586942
"1790","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU BLAH T. SINSUAT","Matuber",3088,3088,464,36650.95,2081,17.6121816434407,175.333190544856
"1793","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU BLAH T. SINSUAT","Penansaran",3048,3048,489,36650.95,2081,17.6121816434407,173.062035226918
"1798","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU BLAH T. SINSUAT","Tubuan",2806,2806,410,36650.95,2081,17.6121816434407,159.321545553389
"1792","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU BLAH T. SINSUAT","Nalkan",2139,2139,343,36650.95,2081,17.6121816434407,121.450030626764
"1787","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU BLAH T. SINSUAT","Kinimi",2121,2121,344,36650.95,2081,17.6121816434407,120.428010733692
"1837","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU HOFFER AMPATUAN","Limpongo",3557,3557,618,36650.95,2081,17.6121816434407,201.962486647686
"1841","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU HOFFER AMPATUAN","Tuayan",3536,3536,524,36650.95,2081,17.6121816434407,200.770130105768
"1836","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU HOFFER AMPATUAN","Labu-labu II",3173,3173,655,36650.95,2081,17.6121816434407,180.159395595476
"1840","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU HOFFER AMPATUAN","Talibadok",3056,3056,543,36650.95,2081,17.6121816434407,173.516266290505
"1835","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU HOFFER AMPATUAN","Labu-labu I",2386,2386,495,36650.95,2081,17.6121816434407,135.474414715035
"1453","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU ODIN SINSUAT (DINAIG)","Dalican Poblacion",14094,14094,2167,36650.95,2081,17.6121816434407,800.241576275649
"1443","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU ODIN SINSUAT (DINAIG)","Awang",11897,11795,2415,36650.95,2081,17.6121816434407,675.498370437874
"1471","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU ODIN SINSUAT (DINAIG)","Tamontaka",10058,9724,1588,36650.95,2081,17.6121816434407,571.082004695649
"1467","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU ODIN SINSUAT (DINAIG)","Semba",5988,5988,1036,36650.95,2081,17.6121816434407,339.991951095401
"1462","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU ODIN SINSUAT (DINAIG)","Makir",3974,3974,667,36650.95,2081,17.6121816434407,225.639280837195
"1424","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU PAGLAS","Poblacion",4985,4985,876,36650.95,2081,17.6121816434407,283.042731498092
"1404","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU PAGLAS","Damawato",2009,2009,319,36650.95,2081,17.6121816434407,114.068775843464
"1403","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU PAGLAS","Alip (Pob.)",1740,1740,315,36650.95,2081,17.6121816434407,98.795256330327
"1417","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU PAGLAS","Datang",1522,1522,278,36650.95,2081,17.6121816434407,86.4174598475619
"1420","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU PAGLAS","Madidis",1365,1365,209,36650.95,2081,17.6121816434407,77.5031752246531
"1439","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU PIANG","Poblacion (Dulawan)",9463,9403,1551,36650.95,2081,17.6121816434407,537.298569341313
"1430","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU PIANG","Buayan",3207,3207,473,36650.95,2081,17.6121816434407,182.089877615723
"1441","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU PIANG","Kanguan",2706,2676,530,36650.95,2081,17.6121816434407,153.643657258543
"1433","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU PIANG","Duaminanga",1513,1513,221,36650.95,2081,17.6121816434407,85.9064499010258
"1431","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU PIANG","Dado",1085,1085,163,36650.95,2081,17.6121816434407,61.6050879990832
"1860","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU SALIBO","Sambulawan",4000,4000,687,36650.95,2081,17.6121816434407,227.115531793855
"1857","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU SALIBO","Pagatin",2458,2458,391,36650.95,2081,17.6121816434407,139.562494287324
"1849","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU SALIBO","Butilen",1664,1664,321,36650.95,2081,17.6121816434407,94.4800612262438
"1848","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU SALIBO","Buayan",1496,1496,259,36650.95,2081,17.6121816434407,84.9412088909019
"1855","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU SALIBO","Magaslong",812,812,122,36650.95,2081,17.6121816434407,46.1044529541526
"1754","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU SAUDI-AMPATUAN","Kitango",5483,5483,850,36650.95,2081,17.6121816434407,311.318615206427
"1755","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU SAUDI-AMPATUAN","Kitapok",3986,3986,607,36650.95,2081,17.6121816434407,226.320627432577
"1757","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU SAUDI-AMPATUAN","Salbu",3640,3640,621,36650.95,2081,17.6121816434407,206.675133932408
"1751","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU SAUDI-AMPATUAN","Elian",3086,3086,544,36650.95,2081,17.6121816434407,175.219632778959
"1756","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU SAUDI-AMPATUAN","Madia",3024,3024,539,36650.95,2081,17.6121816434407,171.699342036155
"1763","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU UNSAY","Meta",3071,3071,542,36650.95,2081,17.6121816434407,174.367949534732
"1759","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU UNSAY","Iganagampong",2547,2547,412,36650.95,2081,17.6121816434407,144.615814869737
"1761","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","MAGUINDANAO","DATU UNSAY","Maitumaig",2186,2186,348,36650.95,2081,17.6121816434407,124.118638125342
